duration_ms_track,explicit,id_track,name_track,popularity,track,artist_ids,artist_names,album_id,album_name,album_release_date,album_release_date_precision,playlist_id,description_playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
206960,False,0x458JRmIf3jn12JfVJakp,Every Home Should Have One,0,True,0JxChc2w5fwTGbXKfc4cRd | 5bTTx0CRvZj1kRJwUsWWYo | 2Q1VDTC6xzcECmxPP9PtcT,Patti Austin | James Ingram | Bruce Swedien,51oC5RMgyUMWhIH9iHUltg,Every Home Should Have One,1981-12-15,day,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.782,0.637,2,-12.656,1,0.0268,0.149,2.44e-05,0.0513,0.923,102.216,4
211893,False,7vIN7OsCO8r19gXrztjtG6,Your Imagination,15,True,23dBg5HdfYGtBBc96KfyWw,Maxus,3NqdoUkICbpsyzX1d5fzJO,Maxus,1981,year,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.818,0.615,0,-10.23,1,0.0368,0.12,0.0,0.0546,0.918,113.987,4
211893,False,7vIN7OsCO8r19gXrztjtG6,Your Imagination,15,True,23dBg5HdfYGtBBc96KfyWw,Maxus,3NqdoUkICbpsyzX1d5fzJO,Maxus,1981,year,5nQV75nMl6dgUvH5MUcQYU,,0.818,0.615,0,-10.23,1,0.0368,0.12,0.0,0.0546,0.918,113.987,4
211893,False,7vIN7OsCO8r19gXrztjtG6,Your Imagination,15,True,23dBg5HdfYGtBBc96KfyWw,Maxus,3NqdoUkICbpsyzX1d5fzJO,Maxus,1981,year,1mH30Ky52SiFE1W8OdPq8t,"Smooth Westcoast (loosely called &quot;Yacht Rock&quot;) featuring greats such as Jay Graydon, Jerry Hey and Jeff Porcaro, predominantly recorded by studio musicians in L.A. between 1975 and 1985, with a strong emphasis on the golden era of 1977–1982. You can also call it some of the finest music ever made. ",0.818,0.615,0,-10.23,1,0.0368,0.12,0.0,0.0546,0.918,113.987,4
211893,False,7vIN7OsCO8r19gXrztjtG6,Your Imagination,15,True,23dBg5HdfYGtBBc96KfyWw,Maxus,3NqdoUkICbpsyzX1d5fzJO,Maxus,1981,year,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.818,0.615,0,-10.23,1,0.0368,0.12,0.0,0.0546,0.918,113.987,4
197306,False,1zL1o0VE21JSrGabxdzSdU,Drawn To The Light,9,True,0naBjfd0Vm2gQiKpNYuqZs,Paul Clark,4hNHq6kWDn7lYXEsX7XKYB,Drawn To The Light,1982,year,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.697,0.485,0,-14.424,1,0.0422,0.472,1.13e-06,0.0459,0.9,159.043,4
197306,False,1zL1o0VE21JSrGabxdzSdU,Drawn To The Light,9,True,0naBjfd0Vm2gQiKpNYuqZs,Paul Clark,4hNHq6kWDn7lYXEsX7XKYB,Drawn To The Light,1982,year,5nQV75nMl6dgUvH5MUcQYU,,0.697,0.485,0,-14.424,1,0.0422,0.472,1.13e-06,0.0459,0.9,159.043,4
197306,False,1zL1o0VE21JSrGabxdzSdU,Drawn To The Light,9,True,0naBjfd0Vm2gQiKpNYuqZs,Paul Clark,4hNHq6kWDn7lYXEsX7XKYB,Drawn To The Light,1982,year,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.697,0.485,0,-14.424,1,0.0422,0.472,1.13e-06,0.0459,0.9,159.043,4
340853,False,1tPYNO4fbdMReBPrcAvy9u,Mister White,13,True,5O1GkdCKBSYzioJb4Jysiv,State Cows,41omzEVasEFVZqma3WRuuq,The Second One,2013-05-24,day,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.859,0.2,1,-13.585,1,0.0361,0.223,0.000134,0.0424,0.544,101.993,4
340853,False,1tPYNO4fbdMReBPrcAvy9u,Mister White,13,True,5O1GkdCKBSYzioJb4Jysiv,State Cows,41omzEVasEFVZqma3WRuuq,The Second One,2013-05-24,day,5nQV75nMl6dgUvH5MUcQYU,,0.859,0.2,1,-13.585,1,0.0361,0.223,0.000134,0.0424,0.544,101.993,4
